,Potential_Customer,C_ID,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Pur_3_years_Total,Pur_5_years_Total,Ad_Res_1_Year_Total,Ad_Res_3_Year_Total,Ad_Res_5_Year_Total
13,1,8669.0,3.0,18.0,1.0,8.0,10.0,10.0,8.39,10.0,18.0,128.0,15.0,35.0,81.0,7.0,16.0,33.0,S,1,45.0,F,H,87665.0,4.0,26.0,22.0,51.0,114.0
14,0,6875.0,4.0,18.0,4.0,10.0,25.0,26.25,21.61,26.25,17.0,128.0,15.0,34.0,84.0,6.0,16.0,33.0,A,1,42.0,F,H,87665.0,8.0,28.0,21.0,50.0,117.0
15,0,88233.0,1.0,19.0,1.0,16.0,10.0,10.0,8.32,10.0,15.0,125.0,9.0,24.0,70.0,3.0,10.0,29.0,E,1,17.0,F,H,87665.0,2.0,35.0,12.0,34.0,99.0
16,1,88213.0,1.0,4.0,0.0,2.0,15.0,15.0,16.25,11.67,26.0,65.0,10.0,28.0,46.0,4.0,4.0,16.0,A,0,76.0,M,H,87665.0,1.0,6.0,14.0,32.0,62.0
17,0,88198.0,3.0,3.0,0.0,0.0,10.0,13.33,13.33,11.67,16.0,28.0,13.0,27.0,24.0,6.0,6.0,11.0,A,1,40.0,F,H,87665.0,3.0,3.0,19.0,33.0,35.0
18,1,88189.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,10.0,15.0,13.0,4.0,6.0,5.0,F,0,80.0,M,H,87665.0,2.0,2.0,14.0,21.0,18.0
19,0,88363.0,4.0,5.0,3.0,3.0,25.0,21.25,22.0,20.0,17.0,33.0,13.0,32.0,31.0,6.0,15.0,13.0,A,0,59.02,M,U,100910.0,7.0,8.0,19.0,47.0,44.0
20,0,325.0,2.0,10.0,2.0,6.0,35.0,32.5,20.9,32.5,15.0,87.0,24.0,41.0,58.0,10.0,19.0,26.0,S,1,37.0,F,H,165543.0,4.0,16.0,34.0,60.0,84.0
21,0,88386.0,5.0,10.0,3.0,5.0,14.0,14.8,12.8,14.67,22.0,77.0,10.0,30.0,52.0,5.0,15.0,20.0,A,1,77.0,F,U,44284.5,8.0,15.0,15.0,45.0,72.0
22,0,88410.0,1.0,10.0,0.0,4.0,20.0,20.0,14.0,11.67,18.0,110.0,13.0,33.0,66.0,6.0,6.0,29.0,A,1,62.0,F,H,73899.0,1.0,14.0,19.0,39.0,95.0
23,0,88417.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,17.0,17.0,10.0,15.0,13.0,4.0,6.0,5.0,F,0,43.0,F,H,107105.0,2.0,2.0,14.0,21.0,18.0
24,0,87781.0,1.0,14.0,0.0,5.0,17.0,17.0,16.14,11.67,26.0,81.0,11.0,32.0,61.0,5.0,5.0,23.0,A,1,41.0,M,U,44284.5,1.0,19.0,16.0,37.0,84.0
25,0,88900.0,5.0,8.0,1.0,1.0,10.0,7.6,8.88,10.0,15.0,44.0,13.0,34.0,38.0,6.0,16.0,16.0,A,0,59.02,M,U,44284.5,6.0,9.0,19.0,50.0,54.0
26,1,88489.0,2.0,11.0,2.0,10.0,30.0,27.5,17.0,27.5,16.0,124.0,9.0,20.0,53.0,4.0,11.0,26.0,A,1,67.0,F,H,107272.0,4.0,21.0,13.0,31.0,79.0
27,0,88479.0,3.0,7.0,1.0,5.0,16.0,14.0,11.43,12.0,18.0,76.0,13.0,33.0,57.0,6.0,15.0,21.0,A,1,79.0,M,H,107272.0,4.0,12.0,19.0,48.0,78.0
28,1,88474.0,4.0,12.0,3.0,6.0,10.0,11.0,9.83,11.33,16.0,68.0,12.0,31.0,58.0,5.0,15.0,22.0,S,1,59.02,M,H,107272.0,7.0,18.0,17.0,46.0,80.0
29,1,88535.0,1.0,10.0,0.0,5.0,21.0,21.0,8.4,11.67,17.0,130.0,12.0,24.0,58.0,5.0,5.0,26.0,A,1,68.0,M,H,66090.0,1.0,15.0,17.0,29.0,84.0
30,1,88537.0,5.0,23.0,3.0,14.0,3.0,3.4,3.17,3.67,16.0,128.0,11.0,29.0,66.0,5.0,12.0,26.0,S,1,76.0,M,H,66090.0,8.0,37.0,16.0,41.0,92.0
31,0,88518.0,9.0,23.0,6.0,13.0,3.0,3.67,3.43,3.67,17.0,75.0,12.0,32.0,55.0,6.0,17.0,23.0,S,1,67.0,M,U,44284.5,15.0,36.0,18.0,49.0,78.0
32,0,96314.0,2.0,32.0,1.0,17.0,25.0,25.0,9.44,25.0,17.0,126.0,22.0,44.0,137.0,9.0,20.0,56.0,A,1,27.0,M,H,66090.0,3.0,49.0,31.0,64.0,193.0
33,0,88542.0,1.0,4.0,1.0,3.0,25.0,25.0,16.25,25.0,17.0,57.0,13.0,32.0,45.0,6.0,15.0,17.0,A,0,59.02,M,U,44284.5,2.0,7.0,19.0,47.0,62.0
34,0,88547.0,1.0,1.0,0.0,0.0,15.0,15.0,15.0,11.67,16.0,16.0,11.0,16.0,13.0,4.0,4.0,5.0,F,0,43.0,F,H,73671.0,1.0,1.0,15.0,20.0,18.0
35,0,88609.0,6.0,16.0,3.0,9.0,10.0,8.0,7.06,6.67,17.0,81.0,13.0,33.0,61.0,6.0,16.0,25.0,S,1,65.0,F,U,44284.5,9.0,25.0,19.0,49.0,86.0
36,1,88596.0,2.0,4.0,1.0,1.0,15.0,12.5,10.0,15.0,16.0,44.0,12.0,29.0,33.0,5.0,12.0,13.0,A,0,59.01903261470372,F,H,67047.0,3.0,5.0,17.0,41.0,46.0
37,1,88572.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,10.0,15.0,14.0,3.0,5.0,5.0,F,0,69.0,F,U,67047.0,2.0,2.0,13.0,20.0,19.0
38,1,31953.0,2.0,9.0,2.0,6.0,15.0,15.0,12.22,15.0,25.0,86.0,14.0,34.0,54.0,6.0,16.0,24.0,A,0,59.02,M,U,76594.0,4.0,15.0,20.0,50.0,78.0
39,1,88662.0,6.0,22.0,3.0,12.0,14.0,12.33,8.77,12.33,15.0,130.0,14.0,32.0,77.0,6.0,15.0,32.0,S,1,67.0,M,H,76594.0,9.0,34.0,20.0,47.0,109.0
40,0,88635.0,4.0,5.0,3.0,3.0,20.0,10.25,9.6,10.0,22.0,35.0,12.0,32.0,34.0,6.0,16.0,14.0,A,0,35.0,M,H,76594.0,7.0,8.0,18.0,48.0,48.0
41,1,12454.0,2.0,7.0,1.0,2.0,10.0,12.5,9.0,15.0,17.0,45.0,27.0,47.0,62.0,6.0,15.0,16.0,A,0,59.02,M,H,106020.0,3.0,9.0,33.0,62.0,78.0
42,1,88709.0,2.0,9.0,1.0,6.0,15.0,15.5,9.56,16.0,26.0,81.0,10.0,30.0,54.0,5.0,16.0,23.0,A,1,71.0,F,U,44284.5,3.0,15.0,15.0,46.0,77.0
43,0,88680.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,17.0,17.0,11.0,16.0,14.0,4.0,6.0,5.0,F,0,51.0,F,H,106020.0,2.0,2.0,15.0,22.0,19.0
44,0,88116.0,4.0,19.0,2.0,12.0,5.0,9.25,6.68,9.0,16.0,129.0,12.0,29.0,69.0,6.0,15.0,30.0,S,1,85.0,F,H,106020.0,6.0,31.0,18.0,44.0,99.0
45,1,88735.0,8.0,25.0,5.0,14.0,10.0,8.0,5.88,8.0,21.0,104.0,12.0,32.0,72.0,6.0,17.0,29.0,S,1,70.0,F,H,40165.0,13.0,39.0,18.0,49.0,101.0
46,0,88733.0,7.0,9.0,4.0,4.0,10.0,8.57,7.78,8.5,17.0,44.0,7.0,27.0,33.0,4.0,13.0,13.0,S,1,59.02,F,U,44284.5,11.0,13.0,11.0,40.0,46.0
47,0,89195.0,2.0,7.0,1.0,2.0,25.0,10.0,10.71,10.0,18.0,69.0,13.0,31.0,50.0,6.0,14.0,18.0,A,0,59.02,M,H,44284.5,3.0,9.0,19.0,45.0,68.0
48,1,2935.0,1.0,4.0,1.0,1.0,20.0,50.0,22.5,50.0,10.0,17.0,28.0,33.0,32.0,5.0,7.0,6.0,F,0,59.02,F,H,89773.0,2.0,5.0,33.0,40.0,38.0
49,1,88766.0,4.0,7.0,2.0,4.0,12.0,12.75,11.0,12.0,17.0,45.0,13.0,33.0,39.0,6.0,17.0,17.0,S,1,50.0,M,H,89773.0,6.0,11.0,19.0,50.0,56.0
50,0,7809.0,3.0,23.0,2.0,11.0,52.0,48.67,38.87,49.5,16.0,110.0,29.0,50.0,112.0,6.0,17.0,33.0,S,1,59.02,M,H,87767.0,5.0,34.0,35.0,67.0,145.0
51,1,88856.0,5.0,18.0,5.0,11.0,5.0,3.6,3.06,3.6,15.0,107.0,10.0,27.0,60.0,4.0,11.0,25.0,A,1,62.0,F,U,87767.0,10.0,29.0,14.0,38.0,85.0
52,0,88848.0,1.0,7.0,0.0,6.0,20.0,20.0,18.57,11.67,17.0,104.0,13.0,31.0,65.0,6.0,6.0,27.0,A,0,53.0,F,H,87767.0,1.0,13.0,19.0,37.0,92.0
53,0,88838.0,1.0,4.0,1.0,3.0,20.0,20.0,23.75,20.0,17.0,76.0,13.0,26.0,50.0,6.0,12.0,19.0,A,1,69.0,M,H,87767.0,2.0,7.0,19.0,38.0,69.0
54,0,88822.0,3.0,4.0,2.0,3.0,20.0,20.0,17.5,20.0,25.0,42.0,11.0,32.0,33.0,6.0,16.0,15.0,A,0,59.02,F,U,44284.5,5.0,7.0,17.0,48.0,48.0
55,1,88802.0,1.0,2.0,1.0,1.0,10.0,16.0,13.0,16.0,15.0,17.0,14.0,18.0,16.0,5.0,7.0,6.0,N,0,66.0,M,H,87767.0,2.0,3.0,19.0,25.0,22.0
56,0,88862.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,24.0,24.0,7.0,17.0,16.0,3.0,7.0,6.0,N,0,53.0,F,H,118487.0,2.0,2.0,10.0,24.0,22.0
57,1,88886.0,1.0,3.0,0.0,1.0,25.0,40.0,35.0,11.67,18.0,44.0,13.0,35.0,41.0,6.0,6.0,17.0,A,0,43.0,M,H,72452.0,1.0,4.0,19.0,41.0,58.0
58,0,88903.0,2.0,4.0,0.0,1.0,15.0,15.0,13.0,11.67,26.0,45.0,9.0,30.0,35.0,4.0,4.0,15.0,A,0,49.0,F,H,59240.0,2.0,5.0,13.0,34.0,50.0
59,1,8013.0,13.0,56.0,8.0,24.0,7.0,10.31,8.29,10.25,17.0,93.0,35.0,57.0,147.0,11.0,22.0,42.0,S,1,60.0,F,H,54341.0,21.0,80.0,46.0,79.0,189.0
60,1,88920.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,21.0,21.0,11.0,18.0,17.0,5.0,8.0,7.0,F,0,42.0,F,H,54341.0,2.0,2.0,16.0,26.0,24.0
61,0,7776.0,3.0,10.0,1.0,5.0,12.0,13.0,9.0,18.0,5.0,68.0,30.0,49.0,68.0,10.0,18.0,25.0,L,0,67.0,F,U,44284.5,4.0,15.0,40.0,67.0,93.0
62,1,190839.0,2.0,2.0,1.0,1.0,15.0,12.5,12.5,10.0,18.0,28.0,11.0,24.0,22.0,4.0,10.0,9.0,A,0,41.0,M,H,42613.0,3.0,3.0,15.0,34.0,31.0
63,1,89030.0,6.0,8.0,4.0,5.0,10.0,5.33,5.63,5.0,17.0,40.0,13.0,32.0,31.0,6.0,15.0,14.0,S,1,72.0,F,H,42613.0,10.0,13.0,19.0,47.0,45.0
64,0,89026.0,2.0,2.0,2.0,2.0,50.0,37.5,37.5,37.5,21.0,29.0,13.0,27.0,25.0,6.0,13.0,11.0,A,0,65.0,M,H,42613.0,4.0,4.0,19.0,40.0,36.0
65,0,89071.0,1.0,1.0,0.0,0.0,20.0,20.0,20.0,11.67,20.0,20.0,10.0,16.0,16.0,4.0,4.0,5.0,F,0,67.0,M,H,58282.0,1.0,1.0,14.0,20.0,21.0
66,1,31893.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,21.0,21.0,10.0,17.0,15.0,4.0,7.0,6.0,F,0,59.02,F,U,40014.0,2.0,2.0,14.0,24.0,21.0
67,0,89134.0,1.0,1.0,0.0,0.0,20.0,20.0,20.0,11.67,15.0,15.0,10.0,14.0,12.0,5.0,5.0,6.0,F,0,59.02,M,U,93202.0,1.0,1.0,15.0,19.0,18.0
68,0,89176.0,1.0,5.0,1.0,4.0,30.0,30.0,16.0,30.0,17.0,93.0,13.0,30.0,53.0,6.0,14.0,22.0,A,0,35.0,M,H,122794.0,2.0,9.0,19.0,44.0,75.0
69,1,89174.0,2.0,4.0,1.0,2.0,27.0,27.0,22.25,27.0,24.0,81.0,12.0,32.0,47.0,6.0,16.0,19.0,A,0,17.0,M,H,122794.0,3.0,6.0,18.0,48.0,66.0
70,1,88868.0,6.0,7.0,4.0,4.0,8.0,7.67,7.43,7.0,17.0,28.0,13.0,24.0,24.0,6.0,12.0,10.0,A,1,73.0,F,H,122794.0,10.0,11.0,19.0,36.0,34.0
71,1,89209.0,5.0,20.0,3.0,14.0,7.0,6.4,6.25,6.33,16.0,116.0,13.0,31.0,75.0,5.0,12.0,28.0,S,1,50.0,M,H,70182.0,8.0,34.0,18.0,43.0,103.0
72,0,89227.0,2.0,3.0,2.0,2.0,10.0,27.5,21.67,27.5,18.0,33.0,12.0,30.0,29.0,6.0,14.0,12.0,A,0,59.02,M,U,60513.0,4.0,5.0,18.0,44.0,41.0
73,0,89274.0,1.0,2.0,1.0,1.0,6.0,25.0,15.5,25.0,15.0,17.0,12.0,17.0,15.0,5.0,7.0,6.0,N,0,43.0,F,H,59456.0,2.0,3.0,17.0,24.0,21.0
74,1,89288.0,2.0,5.0,0.0,2.0,17.0,16.0,10.4,11.67,24.0,75.0,10.0,29.0,49.0,4.0,4.0,18.0,A,0,44.0,F,H,59456.0,2.0,7.0,14.0,33.0,67.0
75,0,89318.0,4.0,9.0,1.0,4.0,20.0,13.75,10.67,10.0,16.0,65.0,15.0,36.0,52.0,6.0,16.0,19.0,S,1,55.0,F,U,44284.5,5.0,13.0,21.0,52.0,71.0
76,1,1293.0,5.0,14.0,3.0,8.0,5.0,4.8,5.29,4.33,20.0,92.0,13.0,34.0,71.0,6.0,16.0,27.0,A,1,75.0,F,H,80104.0,8.0,22.0,19.0,50.0,98.0
77,1,1064.0,7.0,25.0,2.0,15.0,5.0,8.57,9.36,10.0,7.0,121.0,30.0,52.0,108.0,11.0,22.0,41.0,S,1,69.0,M,U,44284.5,9.0,40.0,41.0,74.0,149.0
78,1,89358.0,2.0,3.0,1.0,2.0,20.0,15.0,11.67,10.0,18.0,43.0,12.0,31.0,32.0,6.0,14.0,13.0,A,0,59.0,M,H,74919.0,3.0,5.0,18.0,45.0,45.0
79,0,89397.0,1.0,6.0,0.0,4.0,23.0,23.0,17.17,11.67,17.0,113.0,6.0,11.0,38.0,2.0,2.0,14.0,A,0,81.0,M,H,74919.0,1.0,10.0,8.0,13.0,52.0
80,0,89335.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,21.0,21.0,11.0,18.0,16.0,5.0,8.0,7.0,F,0,40.0,F,H,74919.0,2.0,2.0,16.0,26.0,23.0
81,0,89334.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,21.0,21.0,8.0,15.0,13.0,3.0,6.0,5.0,F,0,51.0,M,U,44284.5,2.0,2.0,11.0,21.0,18.0
82,1,92814.0,2.0,2.0,2.0,2.0,15.0,10.0,10.0,10.0,16.0,31.0,12.0,25.0,23.0,4.0,9.0,8.0,A,0,33.0,F,U,56686.0,4.0,4.0,16.0,34.0,31.0
83,0,89409.0,1.0,1.0,0.0,0.0,20.0,20.0,20.0,11.67,16.0,16.0,12.0,17.0,14.0,5.0,5.0,6.0,F,0,36.0,F,H,56686.0,1.0,1.0,17.0,22.0,20.0
84,1,89768.0,2.0,18.0,1.0,9.0,5.0,6.0,5.11,7.0,15.0,113.0,13.0,32.0,71.0,5.0,13.0,27.0,S,1,59.02,M,U,60152.0,3.0,27.0,18.0,45.0,98.0
85,0,89451.0,11.0,36.0,8.0,21.0,5.0,5.64,6.03,5.5,17.0,130.0,13.0,31.0,78.0,6.0,17.0,32.0,S,1,58.0,F,H,68588.0,19.0,57.0,19.0,48.0,110.0
86,1,89528.0,5.0,11.0,2.0,6.0,8.0,8.6,7.64,9.0,18.0,75.0,13.0,33.0,54.0,6.0,15.0,20.0,A,0,67.0,F,H,55094.0,7.0,17.0,19.0,48.0,74.0
87,0,89543.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,16.0,16.0,11.0,16.0,14.0,5.0,7.0,6.0,F,0,57.0,F,H,83386.0,2.0,2.0,16.0,23.0,20.0
88,0,89572.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,16.0,16.0,11.0,16.0,13.0,4.0,6.0,5.0,F,0,45.0,M,H,56694.0,2.0,2.0,15.0,22.0,18.0
89,0,89649.0,3.0,25.0,1.0,9.0,10.0,6.67,8.2,5.0,18.0,103.0,9.0,23.0,63.0,4.0,11.0,24.0,S,1,43.0,F,U,66661.0,4.0,34.0,13.0,34.0,87.0
90,1,89653.0,7.0,33.0,6.0,20.0,7.0,5.57,4.82,5.67,17.0,124.0,12.0,30.0,74.0,6.0,17.0,32.0,S,1,80.0,M,H,66661.0,13.0,53.0,18.0,47.0,106.0
91,1,89642.0,1.0,6.0,0.0,4.0,15.0,15.0,8.67,11.67,25.0,87.0,9.0,29.0,50.0,4.0,4.0,21.0,A,1,59.02,F,U,44284.5,1.0,10.0,13.0,33.0,71.0
92,0,89630.0,2.0,3.0,1.0,1.0,15.0,12.5,10.0,15.0,17.0,41.0,10.0,28.0,29.0,4.0,11.0,11.0,A,0,34.0,F,U,44284.5,3.0,4.0,14.0,39.0,40.0
93,1,89686.0,3.0,4.0,1.0,2.0,20.0,21.67,18.75,20.0,25.0,41.0,12.0,33.0,38.0,6.0,16.0,15.0,A,0,58.0,M,U,44284.5,4.0,6.0,18.0,49.0,53.0
94,0,89675.0,0.0,1.0,0.0,0.0,15.0,0.0,15.0,11.67,22.0,22.0,7.0,7.0,12.0,3.0,3.0,5.0,N,0,62.0,F,H,81018.0,0.0,1.0,10.0,10.0,17.0
95,1,89680.0,2.0,2.0,1.0,1.0,15.0,10.0,10.0,5.0,17.0,32.0,10.0,23.0,21.0,4.0,9.0,8.0,A,0,55.0,F,H,81018.0,3.0,3.0,14.0,32.0,29.0
96,0,89716.0,3.0,15.0,0.0,5.0,15.0,13.67,10.47,11.67,17.0,124.0,13.0,35.0,69.0,6.0,6.0,31.0,S,1,87.0,M,H,81018.0,3.0,20.0,19.0,41.0,100.0
97,1,89677.0,0.0,1.0,0.0,0.0,15.0,0.0,15.0,11.67,23.0,23.0,8.0,8.0,13.0,3.0,3.0,5.0,N,0,59.0,F,U,81018.0,0.0,1.0,11.0,11.0,18.0
98,0,89732.0,4.0,6.0,3.0,3.0,6.0,7.75,7.17,6.67,19.0,32.0,12.0,29.0,29.0,6.0,15.0,13.0,S,1,73.0,F,H,52611.0,7.0,9.0,18.0,44.0,42.0
99,0,89734.0,2.0,5.0,1.0,4.0,20.0,17.5,11.6,20.0,20.0,53.0,13.0,34.0,41.0,6.0,16.0,17.0,A,1,38.0,M,H,52611.0,3.0,9.0,19.0,50.0,58.0
100,0,89767.0,3.0,12.0,1.0,3.0,10.0,7.67,6.83,5.0,18.0,105.0,13.0,33.0,58.0,6.0,17.0,25.0,A,0,77.0,M,U,44284.5,4.0,15.0,19.0,50.0,83.0
101,0,89765.0,4.0,8.0,3.0,4.0,14.0,14.0,11.0,14.33,21.0,75.0,13.0,29.0,49.0,6.0,14.0,19.0,A,0,59.01903261470372,M,U,54622.0,7.0,12.0,19.0,43.0,68.0
102,0,89772.0,6.0,20.0,3.0,13.0,9.0,7.67,6.15,6.67,17.0,126.0,20.0,39.0,77.0,8.0,18.0,33.0,F,1,59.02,M,H,90636.0,9.0,33.0,28.0,57.0,110.0
103,0,89812.0,1.0,11.0,0.0,4.0,50.0,34.0,36.64,11.67,18.0,86.0,13.0,35.0,65.0,6.0,6.0,25.0,A,0,71.0,F,H,88668.0,1.0,15.0,19.0,41.0,90.0
104,1,89816.0,2.0,6.0,2.0,4.0,50.0,50.0,35.0,50.0,17.0,76.0,13.0,31.0,54.0,6.0,16.0,21.0,A,0,50.0,M,H,88668.0,4.0,10.0,19.0,47.0,75.0
105,1,5511.0,1.0,22.0,0.0,7.0,20.0,15.0,22.18,11.67,17.0,126.0,33.0,44.0,102.0,3.0,3.0,18.0,A,1,79.0,M,H,88668.0,1.0,29.0,36.0,47.0,120.0
106,0,89849.0,1.0,3.0,0.0,2.0,15.0,15.0,11.67,11.67,26.0,44.0,9.0,28.0,32.0,4.0,4.0,13.0,A,0,55.0,F,H,64856.0,1.0,5.0,13.0,32.0,45.0
107,1,89863.0,4.0,13.0,2.0,8.0,25.0,22.5,14.38,22.5,15.0,102.0,14.0,36.0,69.0,6.0,17.0,28.0,A,1,50.0,F,H,64856.0,6.0,21.0,20.0,53.0,97.0
108,0,89856.0,2.0,11.0,2.0,7.0,28.0,22.0,12.09,22.0,25.0,79.0,13.0,35.0,60.0,6.0,17.0,24.0,A,1,52.0,F,H,64856.0,4.0,18.0,19.0,52.0,84.0
109,1,89873.0,1.0,12.0,0.0,5.0,10.0,10.0,13.25,11.67,18.0,86.0,13.0,35.0,65.0,6.0,6.0,26.0,S,1,52.0,F,H,68375.0,1.0,17.0,19.0,41.0,91.0
110,0,89914.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,24.0,24.0,8.0,18.0,16.0,3.0,7.0,6.0,N,0,59.02,F,U,44284.5,2.0,2.0,11.0,25.0,22.0
111,0,89948.0,1.0,9.0,1.0,4.0,20.0,20.0,12.33,20.0,21.0,89.0,12.0,32.0,64.0,6.0,16.0,24.0,A,1,59.02,M,U,69585.0,2.0,13.0,18.0,48.0,88.0
112,0,89923.0,4.0,4.0,2.0,2.0,16.0,11.5,11.5,10.0,18.0,36.0,12.0,33.0,32.0,6.0,16.0,14.0,A,1,68.0,F,H,69585.0,6.0,6.0,18.0,49.0,46.0
113,1,13394.0,5.0,10.0,5.0,6.0,10.0,8.4,7.4,8.4,18.0,76.0,22.0,40.0,57.0,6.0,16.0,20.0,A,0,67.0,F,U,69585.0,10.0,16.0,28.0,56.0,77.0
114,0,905.0,1.0,5.0,0.0,1.0,15.0,15.0,10.2,11.67,18.0,64.0,14.0,30.0,54.0,4.0,4.0,18.0,A,0,65.0,M,H,64459.0,1.0,6.0,18.0,34.0,72.0
115,0,89971.0,2.0,2.0,2.0,2.0,15.0,12.5,12.5,12.5,17.0,24.0,7.0,17.0,15.0,4.0,9.0,7.0,N,0,83.0,F,H,64459.0,4.0,4.0,11.0,26.0,22.0
116,0,89981.0,1.0,7.0,0.0,3.0,20.0,20.0,7.43,11.67,25.0,114.0,10.0,23.0,56.0,4.0,4.0,18.0,A,0,59.02,M,U,44284.5,1.0,10.0,14.0,27.0,74.0
117,0,89985.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,17.0,15.0,4.0,7.0,6.0,F,0,63.0,F,H,47135.0,2.0,2.0,14.0,24.0,21.0
118,0,90013.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,16.0,25.0,14.0,27.0,24.0,6.0,12.0,10.0,N,0,57.0,F,H,70339.0,4.0,4.0,20.0,39.0,34.0
119,1,90031.0,4.0,18.0,3.0,13.0,5.0,4.75,3.72,5.67,17.0,128.0,12.0,27.0,67.0,5.0,13.0,28.0,S,1,81.0,F,U,70339.0,7.0,31.0,17.0,40.0,95.0
120,0,96505.0,6.0,17.0,2.0,8.0,17.0,15.67,13.59,16.0,16.0,104.0,14.0,36.0,70.0,6.0,17.0,29.0,S,1,72.0,M,H,70339.0,8.0,25.0,20.0,53.0,99.0
